relation_id,source,source_year,source_title,target,target_year,target_title,relation_type,research_line,confidence,support_type,rationale,source_gap_page,source_gap_evidence,target_gap_page,target_gap_evidence,source_insight,target_insight,status
E11,P002,2022,Multimodal Triplet Attention Network for Brain Disease Diagnosis,P006,2023,MSTGC: Multi-Channel Spatio-Temporal Graph Convolution Network for Multi-Modal Brain Networks Fusion,GENERALIZES,RL2,MEDIUM-HIGH,multimodal fusion -> spatio-temporal graph fusion,P002 关注多模态互补、高阶关系与判别融合；P006 将融合对象推进到多模态脑网络，并显式联合动态图的时空拓扑。,1,Most of the existing methods focus on the feature space fusion of different modalities but ignore the valuable high-order relationships among samples and the discriminative fused features for classi- fication.,1,"Although many multi-modal brain network fusion methods have been pro- posed, most of them are unable to effectively extract the spatio-temporal topological characteristics of brain network while fusing different modaliti…","In this paper, we propose a novel framework by fusing data from two modalities of functional MRI (fMRI) and diffusion tensor imaging (DTI) for epilepsy diagnosis, which effectively captures the complementary information …","In this paper, we develop an adaptive multi-channel graph convolution network (GCN) fusion framework with graph contrast learn- ing, which not only can effectively mine both the comple- mentary and discriminative feature…",SUPPORTED_HYPOTHESIS
E12,P002,2022,Multimodal Triplet Attention Network for Brain Disease Diagnosis,P014,2023,Deep Multi-Modal Discriminative and Interpretability Network for Alzheimer&#x2019;s Disease Diagnosis,REFINES,RL2,MEDIUM-HIGH,multimodal discriminability thread,P014 延续多模态融合，但把 gap 明确转向共同空间中的判别结构与 biomarker interpretability。,1,Most of the existing methods focus on the feature space fusion of different modalities but ignore the valuable high-order relationships among samples and the discriminative fused features for classi- fication.,1,"However, most of the existing fusion methods focus on pur- suing common feature representation by transformation, and ignore discriminative structural information among samples.","In this paper, we propose a novel framework by fusing data from two modalities of functional MRI (fMRI) and diffusion tensor imaging (DTI) for epilepsy diagnosis, which effectively captures the complementary information …","In this paper, we propose a novel method named deep multi-modal discriminative and interpretability network (DMDIN), which aligns samples in a discriminative common space and provides a new approach to identify significa…",SUPPORTED_HYPOTHESIS
E13,P006,2023,MSTGC: Multi-Channel Spatio-Temporal Graph Convolution Network for Multi-Modal Brain Networks Fusion,P023,2025,Multi-Modal Brain Network Fusion for Intelligent Diagnostic Devices,REFINES,RL2,HIGH,high semantic continuity,P023 延续多模态脑网络融合，进一步把 regional heterogeneity 和 disease-irrelevant information 解耦作为核心问题。,1,"Although many multi-modal brain network fusion methods have been pro- posed, most of them are unable to effectively extract the spatio-temporal topological characteristics of brain network while fusing different modaliti…",1,"However, existing multi-modal methods often directly fuse functional brain networks (FBN) and structural brain networks (SBN), ignoring the regional heterogeneity between them.","In this paper, we develop an adaptive multi-channel graph convolution network (GCN) fusion framework with graph contrast learn- ing, which not only can effectively mine both the comple- mentary and discriminative feature…","In this paper, we develop a multi-modal brain network fusion method with regional heterogeneity constraints, and design a feature decoupling module to alleviate disease- irrelevant information.",STRONG_SUPPORTED_RELATION
E14,P010,2023,Multi-Modal Non-Euclidean Brain Network Analysis With Community Detection and Convolutional Autoencoder,P023,2025,Multi-Modal Brain Network Fusion for Intelligent Diagnostic Devices,REFINES,RL2,MEDIUM,topology-aware multimodal fusion,P010 已从简单特征融合推进到双模态脑网络内部拓扑/社区结构；P023 进一步显式建模跨模态区域异质性。,1,"However, it would face two challenges.",1,"However, existing multi-modal methods often directly fuse functional brain networks (FBN) and structural brain networks (SBN), ignoring the regional heterogeneity between them.","In this paper, we propose a multi-modal non-Euclidean brain network analysis method based on community detection and convolutional autoencoder, which can solve the above two problems simultaneously in one framework (M2CD…","In this paper, we develop a multi-modal brain network fusion method with regional heterogeneity constraints, and design a feature decoupling module to alleviate disease- irrelevant information.",SUPPORTED_HYPOTHESIS
E15,P014,2023,Deep Multi-Modal Discriminative and Interpretability Network for Alzheimer&#x2019;s Disease Diagnosis,P036,2026,Adjacent-Aware Modality Recovery Based on Incomplete Multi-Modal Brain Disease Diagnosis,GENERALIZES,RL2,HIGH,P036 cites P014 + complete-to-incomplete setting,P036 将完整多模态诊断推进到 missing modality 场景，并从邻域语义与缺失模态潜在信息恢复角度处理不完整数据；其参考文献包含 P014。,1,"However, most of the existing fusion methods focus on pur- suing common feature representation by transformation, and ignore discriminative structural information among samples.",1,"However, incomplete multi-modal data, where some modalities are unavailable or difficult to collect, limits the effectiveness of conventional methods.","In this paper, we propose a novel method named deep multi-modal discriminative and interpretability network (DMDIN), which aligns samples in a discriminative common space and provides a new approach to identify significa…","To address these challenges, we propose an adjacent-aware distillation recovery framework designed for incomplete multi-modal learning, with a focus on diagnosing representative brain diseases, i.e. epilepsy and Alzheime…",STRONG_SUPPORTED_RELATION
E16,P002,2022,Multimodal Triplet Attention Network for Brain Disease Diagnosis,P036,2026,Adjacent-Aware Modality Recovery Based on Incomplete Multi-Modal Brain Disease Diagnosis,GENERALIZES,RL2,MEDIUM,complete multimodal to incomplete multimodal,P002 代表完整多模态互补融合基线问题；P036 把问题设定扩展到模态缺失并要求恢复分布一致特征。,1,Most of the existing methods focus on the feature space fusion of different modalities but ignore the valuable high-order relationships among samples and the discriminative fused features for classi- fication.,1,"However, incomplete multi-modal data, where some modalities are unavailable or difficult to collect, limits the effectiveness of conventional methods.","In this paper, we propose a novel framework by fusing data from two modalities of functional MRI (fMRI) and diffusion tensor imaging (DTI) for epilepsy diagnosis, which effectively captures the complementary information …","To address these challenges, we propose an adjacent-aware distillation recovery framework designed for incomplete multi-modal learning, with a focus on diagnosing representative brain diseases, i.e. epilepsy and Alzheime…",SUPPORTED_HYPOTHESIS
E17,P009,2023,A Cognitive-Driven Ordinal Preservation for Multimodal Imbalanced Brain Disease Diagnosis,P036,2026,Adjacent-Aware Modality Recovery Based on Incomplete Multi-Modal Brain Disease Diagnosis,PARALLEL_ROBUSTNESS,RL2,MEDIUM,different real-world failure modes,P009 处理类别不平衡与模态异质性，P036 处理缺失模态；二者体现多模态脑诊断从“融合”向现实数据缺陷鲁棒性的平行扩展。,1,"Although multimodal data provide complementary information for decision making, it can also lead the model to be more sensitive to the adverse effects of imbal- ance.",1,"However, incomplete multi-modal data, where some modalities are unavailable or difficult to collect, limits the effectiveness of conventional methods.","In this article, we design a cognitive driven ordinal preservation model optimized in both feature and sam- ple levels for multimodal imbalanced data.","To address these challenges, we propose an adjacent-aware distillation recovery framework designed for incomplete multi-modal learning, with a focus on diagnosing representative brain diseases, i.e. epilepsy and Alzheime…",SUPPORTED_HYPOTHESIS
E18,P007,2023,Self-Supervised Federated Adaptation for Multi-Site Brain Disease Diagnosis,P042,2026,Hash Prototype Personalized Federated Learning for Multi-Site Brain Network Analysis,REFINES,RL3,HIGH,P042 explicitly cites P007,P007 以联邦适应解决多站点异质性与隐私；P042 在同一隐私约束场景下进一步处理跨站点分布校准与个性化模型，并明确引用 P007。,1,"However, due to the inter-site variation in scanners or protocols, multi-site diagnosis is often suffered from data heterogeneity, which may severely degrade the model performance. [9].",1,"However, the challenges of cross-site data distribution alignment and personalized model construction un- der privacy constraints remain inadequately addressed, which limits the effectiveness of existing multi-site feder…","In this article, we propose a self-supervised federated adaptation (S2FA) frame- work for robust multi-site prediction, which can reduce the risk of privacy disclosure.","In this paper, we propose a hash prototype-based personalized federated learning method for multi-site brain network analysis, which enables effective cross-site data distribution calibration and neurological pattern rec…",STRONG_SUPPORTED_RELATION
E19,P008,2023,Multi-Discriminator Active Adversarial Network for Multi-Center Brain Disease Diagnosis,P044,2026,A Unified Graph Domain Adaptation Framework for Cross-Site Brain Network Analysis,UNIFIES,RL3,MEDIUM-HIGH,"same cross-site adaptation problem, broader heterogeneity",P008 从 center/feature/label 多层不确定性做主动对抗适应；P044 将 sample-level 与 site-level heterogeneity、outliers 和图拓扑保持统一进 graph domain adaptation。,1,"However, in practical multi-center applications, data uncertainty is more common than that in single center, which brings challenge to robust modeling of diagnosis.",1,"However, these approaches also face heightened heterogeneity across sites (e.g., scanner protocols) and subjects (e.g., clinical variability), along with potential out- liers with distributional shifts in connectivity pa…","In this article, we proposed a multi-discriminator active adversarial network (MDAAN) to alleviate the uncertainties at the center, feature, and label levels for multi-center brain disease diagnosis.First,weextractthelat…","To address these challenges, we propose a unified graph domain adaptation framework for cross-site brain network analysis, which mitigates the heterogeneity at the sample and site levels while preserving their topologica…",SUPPORTED_HYPOTHESIS
E20,P007,2023,Self-Supervised Federated Adaptation for Multi-Site Brain Disease Diagnosis,P039,2026,Prototypical Representation Learning for Multi-Site Domain Generalization in Schizophrenia Diagnosis,GENERALIZES_SETTING,RL3,MEDIUM,target-access/privacy to target-unseen generalization,P007 面向可参与训练/迁移的多站点联邦适应；P039 进一步切换为 target-unseen 的 domain generalization 假设，并处理类内跨站点结构多样性。,1,"However, due to the inter-site variation in scanners or protocols, multi-site diagnosis is often suffered from data heterogeneity, which may severely degrade the model performance. [9].",1,"However, site-induced distribution shifts pose a major challenge to the generalization of classification models based on BFNs.","In this article, we propose a self-supervised federated adaptation (S2FA) frame- work for robust multi-site prediction, which can reduce the risk of privacy disclosure.","To address this issue, we proposed a DG framework based on a transformer encoder combined with prototype learning.",SUPPORTED_HYPOTHESIS
E21,P039,2026,Prototypical Representation Learning for Multi-Site Domain Generalization in Schizophrenia Diagnosis,P044,2026,A Unified Graph Domain Adaptation Framework for Cross-Site Brain Network Analysis,PARALLEL_SETTING,RL3,HIGH,distinct target-domain assumptions,两篇均处理多站点分布偏移，但 P039 是无目标域数据的 DG，P044 是有目标站点参与的 DA；应视为同一大问题下互补而非前后继。,1,"However, site-induced distribution shifts pose a major challenge to the generalization of classification models based on BFNs.",1,"However, these approaches also face heightened heterogeneity across sites (e.g., scanner protocols) and subjects (e.g., clinical variability), along with potential out- liers with distributional shifts in connectivity pa…","To address this issue, we proposed a DG framework based on a transformer encoder combined with prototype learning.","To address these challenges, we propose a unified graph domain adaptation framework for cross-site brain network analysis, which mitigates the heterogeneity at the sample and site levels while preserving their topologica…",STRONG_SUPPORTED_RELATION
E22,P018,2024,Dynamic Confidence-Aware Multi-Modal Emotion Recognition,P027,2025,Multimodal Discriminative Network for Emotion Recognition Across Individuals,EXTENDS,RL4,MEDIUM-HIGH,uncertainty -> cross-individual invariance,P018 系统建模多模态不确定性与动态置信度；P027 在此类鲁棒融合问题上进一步加入跨个体分布漂移与 subject-independent discriminative representation。,1,Previous multi-modal approaches ignore systematic modeling of uncertainty in fusion and revelation of dynamic variations in emotion process.,1,"However, challenges arise in multimodal fusion due to uncertainties inherent in different modalities, such as complex signal coupling and modal- ity heterogeneity.","In this paper, we propose a dynamic confidence-aware fusion network for robust recognition of heterogeneous emotion features, including electroencephalogram (EEG) and facial expression.","To address the above issues, we propose a cross- subject multimodal emotion robust recognition framework that effectively extracts subject-independent intrinsic emotional iden- tification information from heterogeneous m…",SUPPORTED_HYPOTHESIS
E23,P018,2024,Dynamic Confidence-Aware Multi-Modal Emotion Recognition,P035,2025,Multi-Modal Cross-Subject Emotion Feature Alignment and Recognition With EEG and Eye Movements,EXTENDS,RL4,HIGH,cross-subject multimodal alignment,P035 将多模态异质性问题推进到跨被试场景，联合学习 subject-independent representation 与 EEG/eye-movement common feature；其问题逻辑与 P018 的不确定融合连续。,1,Previous multi-modal approaches ignore systematic modeling of uncertainty in fusion and revelation of dynamic variations in emotion process.,1,"However, the distribution drift among subjects and the heterogeneity of different modalities pose challenges to multi-modal emotion recognition, thereby limiting its practical application.","In this paper, we propose a dynamic confidence-aware fusion network for robust recognition of heterogeneous emotion features, including electroencephalogram (EEG) and facial expression.","In this paper, we propose a cross-subject multi-modal emotion recognition framework, which jointly learns subject-independent representation and common feature between EEG and eye movements.",STRONG_SUPPORTED_RELATION
E24,P027,2025,Multimodal Discriminative Network for Emotion Recognition Across Individuals,P033,2025,HeLo: Heterogeneous Multi-Modal Fusion with Label Correlation for Emotion Distribution Learning,BRANCHES_TO_NEW_TASK,RL4,MEDIUM-HIGH,P033 cites P027,P033 明确引用 P027，并把多模态情绪建模从单一类别/跨个体识别拓展到 emotion distribution learning 与 label correlation。,1,"However, challenges arise in multimodal fusion due to uncertainties inherent in different modalities, such as complex signal coupling and modal- ity heterogeneity.",1,"However, existing EDL methods face challenges in mining the heterogeneity among multiple modalities.","To address the above issues, we propose a cross- subject multimodal emotion robust recognition framework that effectively extracts subject-independent intrinsic emotional iden- tification information from heterogeneous m…","In this paper, we propose a multi-modal emotion distribution learning framework, named HeLo, aimed at fully exploring the heterogeneity and com- plementary information in multi-modal emotional data and label correlation …",SUPPORTED_HYPOTHESIS
E25,P035,2025,Multi-Modal Cross-Subject Emotion Feature Alignment and Recognition With EEG and Eye Movements,P033,2025,HeLo: Heterogeneous Multi-Modal Fusion with Label Correlation for Emotion Distribution Learning,BRANCHES_TO_NEW_TASK,RL4,MEDIUM-HIGH,P033 cites P035,P033 明确引用 P035；其新增重点不是继续 subject alignment，而是异质多模态下的混合情绪分布与标签相关性。,1,"However, the distribution drift among subjects and the heterogeneity of different modalities pose challenges to multi-modal emotion recognition, thereby limiting its practical application.",1,"However, existing EDL methods face challenges in mining the heterogeneity among multiple modalities.","In this paper, we propose a cross-subject multi-modal emotion recognition framework, which jointly learns subject-independent representation and common feature between EEG and eye movements.","In this paper, we propose a multi-modal emotion distribution learning framework, named HeLo, aimed at fully exploring the heterogeneity and com- plementary information in multi-modal emotional data and label correlation …",SUPPORTED_HYPOTHESIS
E26,P018,2024,Dynamic Confidence-Aware Multi-Modal Emotion Recognition,P043,2026,Heterogeneous Modality Dynamic Trustworthy Fusion Network for Cross-Subject Sleep Stage Classification,CROSS_TASK_METHOD_TRANSFER,RL4,HIGH,P043 cites P018,P043 明确引用 P018，并把动态/可信多模态融合思想迁移到跨被试睡眠阶段分类，同时加入时间与样本层不确定性。,1,Previous multi-modal approaches ignore systematic modeling of uncertainty in fusion and revelation of dynamic variations in emotion process.,1,"However, existing sleep stage classification methods are susceptible to heterogeneous multi-modal sleep data and the distribution drift among subjects.","In this paper, we propose a dynamic confidence-aware fusion network for robust recognition of heterogeneous emotion features, including electroencephalogram (EEG) and facial expression.","To address these issues, we propose a Heterogeneous Modal- ity Dynamic Trustworthy fusion network, called HMDT-Net, for cross-subject sleep stage classification.",STRONG_SUPPORTED_RELATION
E27,P035,2025,Multi-Modal Cross-Subject Emotion Feature Alignment and Recognition With EEG and Eye Movements,P043,2026,Heterogeneous Modality Dynamic Trustworthy Fusion Network for Cross-Subject Sleep Stage Classification,GENERALIZES_TO_SLEEP,RL4,MEDIUM-HIGH,cross-subject multimodal continuity,P035 的跨被试多模态对齐与 P043 的跨被试睡眠异质模态融合具有直接问题连续性，但 P043 增加 trustworthy/dynamic uncertainty 目标。,1,"However, the distribution drift among subjects and the heterogeneity of different modalities pose challenges to multi-modal emotion recognition, thereby limiting its practical application.",1,"However, existing sleep stage classification methods are susceptible to heterogeneous multi-modal sleep data and the distribution drift among subjects.","In this paper, we propose a cross-subject multi-modal emotion recognition framework, which jointly learns subject-independent representation and common feature between EEG and eye movements.","To address these issues, we propose a Heterogeneous Modal- ity Dynamic Trustworthy fusion network, called HMDT-Net, for cross-subject sleep stage classification.",SUPPORTED_HYPOTHESIS
E28,P028,2025,ViEEG: Hierarchical Visual Neural Representation for EEG Brain Decoding,P041,2026,FSDBN: Foreground-Aware EEG-Visual Alignment via Dynamic Brain Networks,REFINES,RL5,HIGH,P041 explicitly cites P028,P028 建立 EEG→视觉层级神经表征；P041 明确引用 ViEEG，并把问题推进到复杂场景中的 foreground/background perceptual asymmetry 与 semantic misalignment。,1,Our framework not only advances the performance frontier but also sets a new paradigm for EEG brain decoding.,1,"However, existing methods ignore the perceptual asymmetry between foreground and background in complex scenes, leading to background interference and semantic misalignment.","Inspired by the hierarchical organization of visual cortex, we propose ViEEG, a neuro-inspired framework that addresses HNEN.","To address these limitations, we propose FSDBN, a unified framework for robust EEG-visual decoding.",STRONG_SUPPORTED_RELATION
E29,P034,2025,Disentangled Representation Learning for Robust Brainprint Recognition,P031,2025,AdaptPFL: Unlocking Cross-Device Palmprint Recognition via Adaptive Personalized Federated Learning with Feature Decoupling,CONCEPTUAL_PARALLEL,BRIDGE,MEDIUM-HIGH,identity-vs-context/bias disentanglement,P034 在 EEG biometric 中解耦 identity-related 与 identity-invariant bias；P031 在掌纹中解耦 identity/contextual features。两者同年、跨模态，属于概念并行而非版本关系。,1,"However, existing EEG datasets, which rely on external stimuli or task-specific instructions for data collection, often intertwine identity-related information with biases such as emotional states, cognitive tasks, and d…",1,"Federated learning offers privacy-preserving solutions, but it often compromises recognition accuracy due to feature distribution drift caused by external factors such as lighting and devices.","In this paper, we propose a disentangled representation learning based identity recognition framework, which disentangles the EEG signal into intrinsic identity-related information and biased identity-invariant infor- ma…",The central innovation lies in decomposing palmprint features into identity-related and contextual-related components using a feature decoupling mechanism. This design isolates the influence of external environmental fac…,SUPPORTED_HYPOTHESIS
E30,P012,2023,Contactless Palmprint Image Recognition Across Smartphones With Self-Paced CycleGAN,P031,2025,AdaptPFL: Unlocking Cross-Device Palmprint Recognition via Adaptive Personalized Federated Learning with Feature Decoupling,REFRAMES,RL6,MEDIUM-HIGH,"same cross-device palmprint problem, new privacy/federated setting",P012 通过跨手机图像生成/域迁移缓解设备差异；P031 把同一 cross-device 问题重构为隐私保护的 personalized federated learning，并显式分解 identity/context drift。,1,"Although it is naturally suitable for mobile application scenarios, the following two challenges severely limit its recognition performance: 1) the inconsistency in acquisition devices used in training and testing, and 2…",1,"Federated learning offers privacy-preserving solutions, but it often compromises recognition accuracy due to feature distribution drift caused by external factors such as lighting and devices.","To address these issues, we propose a self-paced CycleGAN with self-attention modules, which simultaneously synthesizes missing data and alleviates the influence of different imaging devices.",The central innovation lies in decomposing palmprint features into identity-related and contextual-related components using a feature decoupling mechanism. This design isolates the influence of external environmental fac…,SUPPORTED_HYPOTHESIS
E31,P017,2024,Dense Hybrid Attention Network for Palmprint Image Super-Resolution,P029,2025,PalmMamba: Palm Intrinsic Features Learning Selective State Space Model for Palmprint Image Denoising,EXTENDS,RL6,HIGH,image quality restoration continuity,P017 针对低质量掌纹做超分辨、恢复纹理/边缘；P029 进一步针对噪声退化做掌纹内在特征驱动去噪，形成清晰的图像质量恢复子线。,1,"However, existing palm- print recognition methods usually require high-quality palmprint images with clear texture and line patterns; however, in prac- tical applications palmprint images are usually of low quality.",1,"However, most existing methods neglect image quality, making them less effective for low- quality, noisy palmprint images.","In this study, we propose a dense hybrid attention (DHA) network for palmprint image super-resolution (SR) by recovering the clear palmprint-specific characteristics.","In this paper, we propose a palm intrinsic features learning selective state space model (PalmMamba) for palmprint image denoising, which consists of shallow feature representation, noise-insensitive palmprint-specific f…",STRONG_SUPPORTED_RELATION
